gene,mean,variance,detected_fraction
DUSP2,2.1428825855255127,9.023917198181152,0.39569429494079655
KLRK1,1.796441912651062,9.000988006591797,0.29709364908503766
GPNMB,1.971949815750122,8.755590438842773,0.34703982777179765
SELL,1.9684438705444336,8.743122100830078,0.3496232508073197
GRN,2.614224910736084,8.7289457321167,0.485037674919268
PRDX1,3.4490880966186523,8.721014976501465,0.6228202368137783
GAS5,4.7040300369262695,8.684649467468262,0.7683530678148547
PSMB4,3.964197874069214,8.67745590209961,0.6856835306781486
IFITM2,4.463659763336182,8.55272102355957,0.7560818083961248
RAN,4.131130695343018,8.552364349365234,0.7007534983853606
UQCRH,3.4057466983795166,8.54516315460205,0.604951560818084
TSPO,3.1037662029266357,8.530611038208008,0.5590958019375672
RARRES3,2.3045337200164795,8.527560234069824,0.4193756727664155
PTPRC,3.7798397541046143,8.502678871154785,0.7160387513455329
COX5B,3.7864387035369873,8.47722053527832,0.656189451022605
PSMB8,3.3832204341888428,8.409134864807129,0.6355220667384284
PGAM1,3.17057204246521,8.37529182434082,0.5944025834230355
NFKBIA,3.045461416244507,8.368809700012207,0.6096878363832078
TXNIP,4.905357837677002,8.352497100830078,0.8340150699677072
PRF1,1.6451523303985596,8.340417861938477,0.302475780409042
EIF3F,3.951953172683716,8.337005615234375,0.7007534983853606
PIK3IP1,2.3648173809051514,8.310162544250488,0.4727664155005382
S100A10,3.1629159450531006,8.304927825927734,0.5866523143164694
TUBB,3.4781641960144043,8.271544456481934,0.6596340150699677
CRIP1,2.196131944656372,8.264528274536133,0.3974165769644779
ISG15,2.120434522628784,8.263579368591309,0.3916038751345533
PSME2,3.549295663833618,8.252463340759277,0.656189451022605
COX6A1,3.59194016456604,8.221578598022461,0.6439181916038751
PSMB1,3.2892322540283203,8.218283653259277,0.6099031216361679
SSR2,3.6558260917663574,8.216085433959961,0.6598493003229279
TAGLN2,3.7771592140197754,8.20622444152832,0.6828848223896663
CD27,1.9684845209121704,8.179672241210938,0.3571582346609257
SSR4,3.8054678440093994,8.150607109069824,0.6822389666307858
GUK1,3.562608003616333,8.093076705932617,0.64994617868676
GPX1,2.83536696434021,8.086518287658691,0.5367061356297094
